Institution_std,pci_match_name,autm_years,matched_years,first_autm_year,last_autm_year,first_pci_source_year,last_pci_source_year
University of Idaho,University of Idaho,15,15,2008,2023,1998.0,2022.0
Michigan Technological University,Michigan Technological University,29,14,1995,2023,2010.0,2011.0
Oklahoma State University,Oklahoma State University,28,14,1996,2023,2010.0,2019.0
Princeton University,Princeton University,24,14,1991,2023,2001.0,2017.0
Thomas Jefferson University,Thomas Jefferson University,19,14,1993,2023,1998.0,2006.0
University of Minnesota,University of Minnesota,33,14,1991,2023,2010.0,2022.0
Florida Atlantic University,Florida Atlantic University,17,13,1991,2023,2001.0,2020.0
Portland State University,Portland State University,13,13,2009,2023,1997.0,2015.0
Vanderbilt University,Vanderbilt University,33,13,1991,2023,2011.0,2016.0
Auburn University,Auburn University,29,12,1995,2023,2012.0,2012.0
East Carolina University,East Carolina University,28,12,1996,2023,2012.0,2021.0
Northern Illinois University,Northern Illinois University,15,12,1994,2023,2007.0,2007.0
University of South Florida,University of South Florida,31,12,1991,2023,2012.0,2023.0
University of Texas Medical Branch (Galveston),University of Texas Medical Branch (Galveston),12,12,1993,2008,1978.0,1978.0
Oregon Health Sciences University,Oregon Health Sciences University,29,11,1993,2023,2013.0,2013.0
Stevens Institute of Technology,Stevens Institute of Technology,14,11,1995,2020,2000.0,2018.0
University of Central Florida,University of Central Florida,29,11,1991,2023,2013.0,2013.0
University of Florida,University of Florida,32,11,1991,2023,2013.0,2013.0
University of North Carolina at Chapel Hill,University of North Carolina Chapel Hill,33,11,1991,2023,2013.0,2013.0
North Dakota State University,North Dakota State University,25,10,1995,2020,2010.0,2017.0
University of Miami,University of Miami,32,10,1991,2023,2014.0,2016.0
University of Texas Health Science Center Houston,University of Texas Houston Hlth. Sci. Ctr_,10,10,1993,2023,1978.0,2021.0
Washington State University (WSU),Washington State University,31,10,1991,2023,2014.0,2023.0
Washington University in St. Louis,Washington University in St. Louis,33,10,1991,2023,2014.0,2023.0
Lehigh University,Lehigh University,15,9,1994,2015,2002.0,2002.0
Syracuse University,Syracuse University,10,9,1991,2000,1992.0,1992.0
University of Colorado,University of Colorado,27,9,1991,2022,2011.0,2011.0
University of Connecticut,University of Connecticut,28,9,1996,2023,2015.0,2015.0
University of Iowa,University of Iowa,31,9,1993,2023,2015.0,2023.0
University of Oregon,University of Oregon,32,9,1992,2023,2015.0,2015.0
University of Wisconsin Madison,University of Wisconsin-Madison,22,9,1991,2022,2005.0,2022.0
Creighton University,Creighton University,12,8,1996,2016,2002.0,2002.0
University of Denver,University of Denver,14,8,1993,2020,2008.0,2008.0
University of Vermont,University of Vermont,22,8,1999,2023,2013.0,2013.0
George Mason University,George Mason University,17,7,1998,2023,2008.0,2008.0
"University of Maryland, Baltimore County (UMBC)",University of Maryland Baltimore County,13,7,1996,2008,2002.0,2002.0
St. Louis University,St. Louis University,6,6,1999,2004,1999.0,1999.0
University of Alabama in Birmingham (UAB),University of Alabama in Birmingham (UAB),6,6,1996,2001,1980.0,1980.0
University of Missouri System,University of Missouri System,11,6,1991,2001,1996.0,1996.0
University of Montana,University of Montana,8,6,1997,2011,1999.0,2007.0
Illinois State University,Illinois State University,5,5,1993,2017,1990.0,2016.0
Kent State University,Kent State University,16,5,1996,2011,2007.0,2007.0
Yale University,Yale University,12,5,1991,2023,1998.0,2023.0
Ball State University,Ball State University,13,3,1991,2018,2008.0,2013.0
Medical University of South Carolina,Medical University of South Carolina,3,3,2021,2023,2016.0,2016.0
New York Medical College,New York Medical College,8,3,1993,2000,1998.0,1998.0
Ohio State University,Ohio State University,3,3,2016,2018,1989.0,2018.0
University of Louisville,University of Louisville,3,3,2016,2018,2005.0,2005.0
University of Maine,University of Maine,7,3,1991,2023,2002.0,2002.0
University of North Dakota,University of North Dakota,3,3,2013,2015,2013.0,2013.0
University of Tennessee,University of Tennessee,3,3,2016,2018,2003.0,2003.0
Miami University (Ohio),Miami University,14,1,2004,2018,2018.0,2018.0
University of Illinois At Chicago,University of Illinois At Chicago,9,1,1991,2023,2023.0,2023.0
University of Massachusetts Amherst,University of Massachusetts Amherst,6,1,1991,2023,2004.0,2004.0
Cornell University,,30,0,1992,2023,,
Louisiana State University,Louisiana State University,7,0,1993,2001,,
Loyola University Medical Center,Loyola University Medical Center,7,0,1996,2004,,
Massachusetts Inst. of Technology (MIT),,33,0,1991,2023,,
Medical College of Ohio,Medical College of Ohio,10,0,1994,2004,,
Northwestern University,,33,0,1991,2023,,
University of Maryland College Park,University of Maryland College Park,18,0,1991,2008,,
University of Massachusetts Medical Center (UMass Chan Medical School),University of Massachusetts Medical Center,3,0,1993,1995,,
University of New Mexico,University of New Mexico,1,0,1996,1996,,
University of New Orleans,University of New Orleans,7,0,1993,1999,,
