autm_institution,pci_match_name,match_source,autm_norm_key,pci_norm_key,autm_year_min,autm_year_max,autm_rows,pci_year_min,pci_year_max,pci_rows,has_year_overlap
Oregon Health Sciences University,Oregon Health Sciences University,exact_normalized,oregon health sciences university,oregon health sciences university,1993,2023,29,2013.0,2025.0,13.0,True
Oregon State University,Oregon State University,exact_normalized,oregon state university,oregon state university,1991,2023,33,2001.0,2025.0,25.0,True
Penn State University,Penn State University,exact_normalized,penn state university,penn state university,1991,2023,33,1998.0,2025.0,28.0,True
Portland State University,Portland State University,exact_normalized,portland state university,portland state university,2009,2023,13,1997.0,2025.0,29.0,True
Princeton University,Princeton University,exact_normalized,princeton university,princeton university,1991,2023,24,2001.0,2025.0,25.0,True
Purdue University,Purdue University,exact_normalized,purdue university,purdue university,1994,2023,29,2000.0,2025.0,26.0,True
Rice University,Rice University,exact_normalized,rice university,rice university,1991,2023,29,1999.0,2025.0,27.0,True
Rutgers the State University of NJ,Rutgers the State University of NJ,exact_normalized,rutgers the state university of nj,rutgers the state university of nj,1991,2023,33,1996.0,2025.0,30.0,True
SUNY,SUNY,exact_normalized,suny,suny,1991,2023,33,1988.0,2025.0,38.0,True
Southern Illinois University,Southern Illinois University,exact_normalized,southern illinois university,southern illinois university,1997,2023,17,1992.0,2025.0,34.0,True
St. Louis University,St. Louis University,exact_normalized,st louis university,st louis university,1999,2004,6,1999.0,2025.0,27.0,True
Stanford University,Stanford University,exact_normalized,stanford university,stanford university,1991,2023,30,1980.0,2025.0,46.0,True
Stevens Institute of Technology,Stevens Institute of Technology,exact_normalized,stevens institute of technology,stevens institute of technology,1995,2020,14,2000.0,2025.0,26.0,True
Syracuse University,Syracuse University,exact_normalized,syracuse university,syracuse university,1991,2000,10,1992.0,2025.0,34.0,True
Temple University,Temple University,exact_normalized,temple university,temple university,1991,2020,29,1985.0,2025.0,41.0,True
Texas A&M University System,Texas A&M University System,exact_normalized,texas aandm university system,texas aandm university system,1993,2023,29,1991.0,2025.0,35.0,True
Thomas Jefferson University,Thomas Jefferson University,exact_normalized,thomas jefferson university,thomas jefferson university,1993,2023,19,1998.0,2025.0,28.0,True
Tufts University,Tufts University,exact_normalized,tufts university,tufts university,1994,2023,29,2005.0,2025.0,21.0,True
