institution_id,institution_standardized,year,paper1_key_match_verified,paper1_commit,paper2_base_commit,pci,pci_median,tone_index,clarity_index,legal_load_index,Source_Year,Is_Carried_Forward,n_sentences,n_words,new_patent_apps,total_patent_apps,patents_issued,disclosures,licenses,startups,license_income,research_exp,licensing_ftes,royalty_share,tlo_age,private,carnegie_r1,med_school,land_grant,ln_new_patent_apps,ln_total_patent_apps,ln_patents_issued,ln_disclosures,ln_licenses,ln_startups,ln_license_income,conv_rate,pci_l1,pci_l2,pci_l3,pci_l4,pci_l5,ln_research_exp_l1,ln_licensing_ftes_l1,royalty_share_l1
71137,Albert Einstein/Yeshiva,2015,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3949666996428572,0.455774045,-0.5418655266626488,0.3843585827175064,1.150078617059557,2015.0,0.0,77.0,2472.0,18,66.0,7.0,65,20.0,1.0,4159494,180.261448,3.0,33.0,30,1,0,1,0,2.9444389791664403,4.204692619390966,2.0794415416798357,4.189654742026425,3.044522437723423,0.6931471805599453,15.2409042306378,-1.245215762859985,,,,,,,,
71137,Albert Einstein/Yeshiva,2016,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3949666996428572,0.455774045,-0.5418655266626488,0.3843585827175064,1.150078617059557,2015.0,1.0,77.0,2472.0,21,67.0,24.0,40,22.0,8.0,4793751,181.309432,3.0,33.0,31,1,0,1,0,3.091042453358316,4.219507705176107,3.2188758248682006,3.713572066704308,3.1354942159291497,2.1972245773362196,15.382823961307524,-0.6225296133459919,0.3949666996428572,,,,,5.199940453119499,1.3862943611198906,33.0
71137,Albert Einstein/Yeshiva,2017,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3949666996428572,0.455774045,-0.5418655266626488,0.3843585827175064,1.150078617059557,2015.0,1.0,77.0,2472.0,25,59.0,14.0,52,22.0,5.0,4641239,184.89495,2.0,33.0,32,1,0,1,0,3.258096538021482,4.0943445622221,2.70805020110221,3.970291913552122,3.1354942159291497,1.791759469228055,15.350492129879132,-0.7121953755306398,0.3949666996428572,0.3949666996428572,,,,5.205705419238143,1.3862943611198906,33.0
71137,Albert Einstein/Yeshiva,2018,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.379363254882716,0.455774045,-0.6694770268511924,0.1306727960023445,0.4773999742807712,2018.0,0.0,81.0,2979.0,17,53.0,25.0,28,17.0,1.0,4594938,208.009539,2.0,33.0,33,1,0,1,0,2.8903717578961645,3.9889840465642745,3.258096538021482,3.367295829986474,2.8903717578961645,0.6931471805599453,15.34046603838457,-0.4769240720903096,0.3949666996428572,0.3949666996428572,0.3949666996428572,,,5.225181729215869,1.0986122886681096,33.0
71137,Albert Einstein/Yeshiva,2019,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.379363254882716,0.455774045,-0.6694770268511924,0.1306727960023445,0.4773999742807712,2018.0,1.0,81.0,2979.0,20,41.0,16.0,41,17.0,1.0,2201452,182.208486,2.0,33.0,34,1,0,1,0,3.044522437723423,3.7376696182833684,2.833213344056216,3.7376696182833684,2.8903717578961645,0.6931471805599453,14.604628154869879,-0.6931471805599454,0.379363254882716,0.3949666996428572,0.3949666996428572,0.3949666996428572,,5.342379892071611,1.0986122886681096,33.0
71137,Albert Einstein/Yeshiva,2020,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.379363254882716,0.455774045,-0.6694770268511924,0.1306727960023445,0.4773999742807712,2018.0,1.0,81.0,2979.0,20,24.0,20.0,52,31.0,4.0,9518848,200.76324,4.0,33.0,35,1,0,1,0,3.044522437723423,3.2188758248682006,3.044522437723423,3.970291913552122,3.4657359027997265,1.6094379124341003,16.068784496096804,-0.925769475828699,0.379363254882716,0.379363254882716,0.3949666996428572,0.3949666996428572,0.3949666996428572,5.210624772127946,1.0986122886681096,33.0
71137,Albert Einstein/Yeshiva,2022,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.379363254882716,0.455774045,-0.6694770268511924,0.1306727960023445,0.4773999742807712,2018.0,1.0,81.0,2979.0,18,,14.0,28,28.0,0.0,3721158,224.134903,3.0,33.0,37,1,0,1,0,2.9444389791664403,,2.70805020110221,3.367295829986474,3.367295829986474,0.0,15.129545736864644,-0.4228568508200339,,0.379363254882716,0.379363254882716,0.379363254882716,0.3949666996428572,,,
71137,Albert Einstein/Yeshiva,2023,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.379363254882716,0.455774045,-0.6694770268511924,0.1306727960023445,0.4773999742807712,2018.0,1.0,81.0,2979.0,13,,20.0,25,4.0,3.0,2991576,233.041944,2.0,33.0,38,1,0,1,0,2.639057329615259,,3.044522437723423,3.258096538021482,1.6094379124341003,1.3862943611198906,14.911311231076487,-0.6190392084062233,0.379363254882716,,0.379363254882716,0.379363254882716,0.379363254882716,5.416699791423696,1.3862943611198906,33.0
71180,Arizona State University,2023,True,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,0.3228515412129213,0.344520215,-0.0224975154589361,-0.5550958121483569,-0.4107754558057688,2018.0,1.0,89.0,3872.0,221,539.0,161.0,315,46.0,21.0,694248,905.703519,10.0,35.43,38,0,1,1,0,5.402677381872279,6.29156913955832,5.087596335232384,5.755742213586912,3.8501476017100584,3.091042453358316,13.450585964764695,-0.353064831714633,,,,,,,,
71194,,1995,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,5,12.0,3.0,17,4.0,0.0,85304,92.852,1.0,39.29,7,0,1,1,1,1.791759469228055,2.5649493574615367,1.3862943611198906,2.8903717578961645,1.6094379124341003,0.0,11.35398834840901,-1.0986122886681096,,,,,,,,
71194,,1996,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,8,8.0,1.0,15,6.0,0.0,188585,87.358,1.0,39.29,8,0,1,1,1,2.1972245773362196,2.1972245773362196,0.6931471805599453,2.772588722239781,1.9459101490553132,0.0,12.14730941524913,-0.5753641449035616,,,,,,4.541719073407474,0.6931471805599453,39.29
71194,,1997,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,7,13.0,5.0,43,4.0,1.0,160000,85.46,2.0,39.29,9,0,1,1,1,2.0794415416798357,2.639057329615259,1.791759469228055,3.784189633918261,1.6094379124341003,0.6931471805599453,11.982935344196433,-1.7047480922384253,,,,,,4.481396743619424,0.6931471805599453,39.29
71194,,1998,False,25a9472b34334825b6d6c6a334f5b88eb00695b5,88cf4a1c02540b136adb8beaa35e212625ac755e,,,,,,,,,,21,32.0,6.0,31,7.0,0.0,192319,88.472824,2.0,39.29,10,0,1,1,1,3.091042453358316,3.4965075614664802,1.9459101490553132,3.4657359027997265,2.0794415416798357,0.0,12.16691593032898,-0.3746934494414105,,,,,,4.4596818792394854,1.0986122886681096,39.29
